raceid,driverid,constructorid,grid
458,196,27,23
458,160,45,24
458,184,51,25
458,188,55,26
459,163,6,1
459,117,4,2
459,137,34,3
459,175,6,4
459,119,34,5
459,158,4,6
459,181,54,7
459,110,51,8
459,177,3,9
459,152,53,10
459,173,32,11
459,118,53,12
459,172,3,13
459,176,21,14
459,123,21,15
459,197,27,16
459,105,25,17
459,95,32,18
459,182,1,19
459,187,1,20
459,195,55,21
459,193,25,22
459,188,55,23
459,196,27,24
459,190,45,25
459,184,51,26
460,163,6,1
460,175,6,2
460,117,4,3
460,173,32,4
460,119,34,5
460,137,34,6
460,158,4,7
460,181,54,8
460,110,51,9
460,118,53,10
460,184,51,11
460,152,53,12
460,177,3,13
460,,,14
460,182,1,15
460,105,25,16
460,123,21,17
460,95,32,18
460,176,21,19
460,172,3,20
460,195,55,21
460,196,27,22
460,193,25,23
460,187,1,24
460,197,27,25
460,160,45,26
461,175,6,1
461,163,6,2
461,110,51,3
461,137,34,4
461,117,4,5
461,158,4,6
461,184,51,7
461,119,34,8
461,118,53,9
461,152,53,10
461,173,32,11
461,177,3,12
461,140,52,13
461,123,21,14
461,172,3,15
461,105,25,16
461,95,32,17
461,182,1,18
461,197,27,19
461,176,21,20
461,193,25,21
461,188,55,22
461,187,1,23
461,195,55,24
461,196,27,25
461,160,45,26
462,175,6,1
462,163,6,2
462,95,32,3
462,137,34,4
462,117,4,5
462,119,34,6
462,152,53,7
462,158,4,8
462,184,51,9
462,118,53,10
462,110,51,11
462,173,32,12
462,181,54,13
462,182,1,14
462,177,3,15
462,140,52,16
462,187,1,17
462,105,25,18
462,123,21,19
462,197,27,20
462,195,55,21
462,176,21,22
462,193,25,23
462,172,3,24
462,160,45,25
462,190,45,26
463,137,34,1
463,175,6,2
463,173,32,3
463,117,4,4
463,95,32,5
463,119,34,6
463,118,53,7
463,110,51,8
463,181,54,9
463,163,6,10
463,158,4,11
463,184,51,12
463,152,53,13
463,176,21,14
463,187,1,15
463,140,52,16
463,172,3,17
463,105,25,18
463,182,1,19
463,195,55,20
463,123,21,21
463,197,27,22
463,177,3,23
463,196,27,24
463,190,45,25
463,193,25,26
464,119,34,1
464,175,6,2
464,163,6,3
464,137,34,4
464,117,4,5
464,110,51,6
464,158,4,7
464,173,32,8
464,181,54,9
464,184,51,10
464,95,32,11
464,118,53,12
464,182,1,13
464,152,53,14
464,187,1,15
464,177,3,16
464,140,52,17
464,123,21,18
464,197,27,19
464,176,21,20
464,195,55,21
464,193,25,22
464,160,45,23
464,105,25,24
464,190,45,25
464,188,55,26
465,173,32,1
465,119,34,2
465,95,32,3
465,137,34,4
465,163,6,5
465,175,6,6
465,158,4,7
465,117,4,8
465,181,54,9
465,187,1,10
465,118,53,11
465,152,53,12
465,182,1,13
465,110,51,14
465,184,51,15
465,177,3,16
465,176,21,17
465,123,21,18
465,140,52,19
465,193,25,20
465,195,55,21
465,197,27,22
465,196,27,23
465,160,45,24
465,156,3,25
465,105,25,26
466,175,6,1
466,137,34,2
466,119,34,3
466,163,6,4
466,117,4,5
466,177,3,6
466,95,32,7
466,181,54,8
466,110,51,9
466,172,3,10
466,173,32,11
466,182,1,12
466,118,53,13
466,158,4,14
466,187,1,15
466,152,53,16
466,184,51,17
466,105,25,18
466,193,25,19
466,123,21,20
466,197,27,21
466,176,21,22
466,196,27,23
466,186,50,24
466,190,45,25
466,160,45,26
436,173,32,1
436,105,6,2
436,118,4,3
436,117,1,4
436,95,32,5
436,182,1,6
436,137,34,7
436,175,4,8
436,177,3,9
436,163,6,10
436,119,51,11
436,158,51,12
436,172,3,13
436,110,27,14
436,170,34,15
436,102,53,16
436,188,53,17
436,84,25,18
436,183,27,19
436,123,21,20
436,160,45,21
436,185,25,22
436,184,52,23
436,176,21,24
437,137,34,1
437,177,3,2
437,95,32,3
437,175,4,4
437,117,1,5
437,170,34,6
437,173,32,7
437,182,1,8
437,118,4,9
437,105,6,10
437,172,3,11
437,181,54,12
437,102,53,13
437,110,27,14
437,163,6,15
437,158,51,16
437,183,27,17
437,119,51,18
437,188,53,19
437,184,52,20
437,156,50,21
437,112,50,22
437,176,21,23
437,185,25,24
438,105,6,1
438,163,6,2
438,177,3,3
438,118,4,4
438,173,32,5
438,181,54,6
438,119,51,7
438,117,1,8
438,137,34,9
438,95,32,10
438,158,51,11
438,175,4,12
438,110,27,13
438,182,1,14
438,172,3,15
438,188,53,16
438,123,21,17
438,170,34,18
438,102,53,19
438,160,45,20
438,185,25,21
438,84,25,22
438,183,27,23
438,176,21,24
439,137,34,1
439,117,1,2
439,177,3,3
439,118,4,4
439,182,1,5
439,163,6,6
439,181,54,7
439,158,51,8
439,170,34,9
439,119,51,10
439,173,32,11
439,110,27,12
439,105,6,13
439,175,4,14
439,172,3,15
439,176,21,16
439,183,27,17
439,95,32,18
439,188,53,19
439,123,21,20
439,185,25,21
439,84,25,22
439,112,50,23
439,184,52,24
440,175,4,1
440,173,32,2
440,137,34,3
440,177,3,4
440,117,1,5
440,95,32,6
440,118,4,7
440,181,54,8
440,182,1,9
440,105,6,10
440,163,6,11
440,172,3,12
440,102,53,13
440,123,21,14
440,119,51,15
440,158,51,16
440,170,34,17
440,188,53,18
440,176,21,19
440,185,25,20
440,156,50,21
440,112,50,22
440,84,25,23
440,184,52,24
441,117,1,1
441,95,32,2
441,163,6,3
441,105,6,4
441,118,4,5
441,175,4,6
441,110,27,7
441,182,1,8
441,137,34,9
441,177,3,10
441,173,32,11
441,181,54,12
441,102,53,13
441,119,51,14
441,190,34,15
441,172,3,16
441,183,27,17
441,188,53,18
441,160,45,19
442,137,34,1
442,117,1,2
442,173,32,3
442,118,4,4
442,163,6,5
442,105,6,6
442,95,32,7
442,182,1,8
442,102,53,9
442,110,27,10
442,158,51,11
442,181,54,12
442,183,27,13
442,119,51,14
442,177,3,15
442,190,34,16
442,172,3,17
442,123,21,18
442,160,45,19
442,188,53,20
442,84,25,21
442,185,25,22
442,176,21,23
442,179,52,24
443,137,34,1
443,117,1,2
443,95,32,3
443,105,6,4
443,173,32,5
443,118,4,6
443,102,53,7
443,158,51,8
443,175,4,9
443,182,1,10
443,84,25,11
443,110,27,12
443,123,21,13
443,181,54,14
443,163,6,15
443,185,25,16
443,188,53,17
443,183,27,18
443,172,3,19
443,112,50,20
443,177,3,21
443,176,21,22
443,170,34,23
443,156,50,24
444,95,32,1
444,173,32,2
444,118,4,3
444,163,6,4
444,182,1,5
444,102,53,6
444,117,1,7
444,177,3,8
444,105,6,9
444,175,4,10
444,190,34,11
444,137,34,12
444,181,54,13
444,158,51,14
444,188,53,15
444,110,27,16
444,185,25,17
444,160,45,18
444,183,27,19
444,123,21,20
444,119,51,21
444,176,21,22
444,179,52,23
444,172,3,24
445,137,34,1
445,117,1,2
445,182,1,3
445,173,32,4
445,177,3,5
445,118,4,6
445,102,53,7
445,95,32,8
445,105,6,9
445,175,4,10
445,181,54,11
445,123,21,12
445,163,6,13
445,170,34,14
445,176,21,15
445,172,3,16
445,119,51,17
445,158,51,18
445,110,27,19
445,183,27,20
445,160,45,21
445,179,52,22
445,156,50,23
445,112,50,24
445,140,25,25
446,117,1,1
446,173,32,2
446,118,4,3
446,175,4,4
446,137,34,5
446,105,6,6
446,182,1,7
446,170,34,8
446,102,53,9
446,163,6,10
446,110,27,11
446,172,3,12
446,181,54,13
446,176,21,14
446,123,21,15
446,95,32,16
446,183,27,17
446,158,51,18
446,177,3,19
446,119,51,20
446,160,45,21
446,112,50,22
446,189,45,23
446,179,52,24
446,156,50,25
447,137,34,1
447,117,1,2
447,173,32,3
447,182,1,4
447,175,4,5
447,118,4,6
447,170,34,7
447,95,32,8
447,177,3,9
447,102,53,10
447,172,3,11
447,105,6,12
447,119,51,13
447,,,14
447,163,6,15
447,158,51,16
447,123,21,17
447,110,27,18
447,176,21,19
447,77,54,20
447,183,27,21
447,189,45,22
447,160,45,23
447,156,50,24
447,112,50,25
447,179,52,26
448,117,1,1
448,137,34,2
448,173,32,3
448,118,4,4
448,175,4,5
448,182,1,6
448,177,3,7
448,172,3,8
448,105,6,9
448,170,34,10
448,123,21,11
448,95,32,12
448,102,53,13
448,110,27,14
448,163,6,15
448,181,54,16
448,158,51,17
448,,,18
448,176,21,19
448,183,27,20
448,160,45,21
448,156,50,22
448,189,45,23
448,,,24
448,140,25,25
449,137,34,1
449,117,1,2
449,173,32,3
449,182,1,4
449,170,34,5
449,177,3,6
449,95,32,7
449,175,4,8
449,119,51,9
449,158,51,10
449,105,6,11
449,118,4,12
449,172,3,13
449,163,6,14
449,176,21,15
449,110,27,16
449,140,53,17
449,183,27,18
449,123,21,19
449,77,54,20
449,181,54,21
449,160,45,22
449,112,50,23
449,189,45,24
449,179,52,25
449,156,50,26
450,137,34,1
450,117,1,2
450,175,4,3
450,177,3,4
450,105,6,5
450,163,6,6
450,118,4,7
450,95,32,8
450,119,51,9
450,170,34,10
450,123,21,11
450,102,53,12
450,158,51,13
450,172,3,14
450,182,1,15
450,176,21,16
450,110,27,17
450,77,54,18
450,183,27,19
450,160,45,20
450,156,50,21
450,189,45,22
450,173,32,23
450,184,52,24
450,112,50,25
450,140,53,26
451,137,34,1
451,117,1,2
451,102,53,3
451,177,3,4
451,173,32,5
451,95,32,6
451,175,4,7
451,105,6,8
451,118,4,9
451,140,53,10
451,182,1,11
451,119,51,12
451,166,4,13
451,158,51,14
451,172,3,15
451,176,21,16
451,163,6,17
451,123,21,18
451,181,34,19
451,110,27,20
451,183,27,21
451,160,45,22
451,77,54,23
451,189,45,24
451,184,52,25
451,156,50,26
451,112,50,27
420,105,6,1
420,177,3,2
420,173,32,3
420,102,32,4
420,95,3,5
420,117,1,6
420,163,6,7
420,137,34,8
420,182,1,9
420,118,4,10
420,175,4,11
420,123,21,12
420,110,27,13
420,119,51,14
420,172,27,15
420,181,50,16
420,183,34,17
420,158,51,18
420,77,21,19
420,112,50,20
420,84,25,21
420,160,45,22
420,140,25,23
420,184,52,24
420,94,18,25
421,102,32,1
421,117,1,2
421,177,3,3
421,173,32,4
421,105,6,5
421,118,4,6
421,182,1,7
421,110,27,8
421,95,3,9
421,123,21,10
421,140,6,11
421,175,4,12
421,119,51,13
421,158,51,14
421,181,50,15
421,137,34,16
421,77,21,17
421,172,27,18
421,183,34,19
421,112,50,20
421,185,25,21
421,84,25,22
421,156,49,23
421,,,24
421,94,18,25
421,160,45,26
422,102,32,1
422,177,3,2
422,173,32,3
422,105,6,4
422,123,21,5
422,117,1,6
422,95,3,7
422,182,1,8
422,137,34,9
422,,,10
422,175,4,11
422,158,51,12
422,110,27,13
422,118,4,14
422,140,6,15
422,172,27,16
422,156,49,17
422,77,21,18
422,94,18,19
422,183,34,20
422,112,50,21
422,160,45,22
422,181,50,23
422,185,25,24
422,84,25,25
422,184,52,26
423,102,32,1
423,95,3,2
423,105,6,3
423,158,51,4
423,117,1,5
423,123,21,6
423,177,3,7
423,110,27,8
423,173,32,9
423,118,4,10
423,77,21,11
423,119,51,12
423,137,34,13
423,182,1,14
423,140,6,15
423,172,27,16
423,175,4,17
423,84,25,18
423,156,49,19
423,170,53,20
424,173,32,1
424,102,32,2
424,105,6,3
424,140,6,4
424,117,1,5
424,118,4,6
424,123,21,7
424,177,3,8
424,137,34,9
424,175,4,10
424,158,51,11
424,77,21,12
424,119,51,13
424,181,50,14
424,110,27,15
424,95,3,16
424,182,1,17
424,170,53,18
424,172,27,19
424,176,34,20
424,112,50,21
424,160,45,22
424,185,25,23
424,84,25,24
424,94,18,25
425,102,32,1
425,95,3,2
425,105,6,3
425,117,1,4
425,177,3,5
425,118,4,6
425,158,51,7
425,173,32,8
425,140,6,9
425,137,34,10
425,176,34,11
425,182,1,12
425,170,53,13
425,119,51,14
425,175,4,15
425,172,27,16
425,110,27,17
425,84,25,18
425,185,25,19
425,181,50,20
425,123,21,21
425,160,45,22
425,112,50,23
425,77,21,24
425,94,18,25
426,177,3,1
426,102,32,2
426,105,6,3
426,117,1,4
426,137,34,5
426,182,1,6
426,173,32,7
426,95,3,8
426,77,21,9
426,175,4,10
426,118,4,11
426,123,21,12
426,110,27,13
426,176,34,14
426,172,27,15
426,140,6,16
426,119,51,17
426,158,51,18
426,170,53,19
426,181,50,20
426,84,25,21
426,156,49,22
426,112,50,23
426,160,45,24
426,94,18,25
427,177,3,1
427,137,34,2
427,117,1,3
427,102,32,4
427,95,3,5
427,105,6,6
427,110,27,7
427,173,32,8
427,170,53,9
427,182,1,10
427,140,6,11
427,118,4,12
427,175,4,13
427,119,51,14
427,176,34,15
427,172,27,16
427,77,21,17
427,181,50,18
427,123,21,19
427,84,25,20
427,112,50,21
427,158,51,22
427,94,18,23
427,156,49,24
427,160,45,25
427,185,25,26
428,170,53,1
428,140,6,2
428,117,1,3
428,177,3,4
428,102,32,5
428,137,34,6
428,173,32,7
428,105,6,8
428,119,51,9
428,95,3,10
428,176,34,11
428,182,1,12
428,172,27,13
428,110,27,14
428,123,21,15
428,175,4,16
428,77,21,17
428,158,51,18
428,185,25,19
428,118,4,20
428,112,50,21
428,181,50,22
428,183,4,23
428,156,49,24
428,179,45,25
428,84,25,26
428,94,18,27
429,117,1,1
429,95,3,2
429,182,1,3
429,177,3,4
429,137,34,5
429,170,53,6
429,173,32,7
429,175,4,8
429,105,6,9
429,119,51,10
429,176,34,11
429,140,6,12
429,118,4,13
429,102,32,14
429,172,27,15
429,123,21,16
429,77,21,17
429,110,27,18
429,160,53,19
429,158,51,20
429,112,50,21
429,185,25,22
429,94,18,23
429,179,45,24
429,156,49,25
429,,,26
430,137,34,1
430,177,3,2
430,117,1,3
430,102,32,4
430,170,53,5
430,175,4,6
430,95,3,7
430,123,21,8
430,176,34,9
430,182,1,10
430,173,32,11
430,118,4,12
430,172,27,13
430,77,21,14
430,160,53,15
430,105,6,16
430,140,6,17
430,110,27,18
430,119,51,19
430,158,51,20
430,84,25,21
430,185,25,22
430,156,49,23
430,94,18,24
430,112,50,25
430,179,45,26
431,102,32,1
431,177,3,2
431,95,3,3
431,137,34,4
431,117,1,5
431,173,32,6
431,105,6,7
431,175,4,8
431,176,34,9
431,140,6,10
431,77,21,11
431,,,12
431,119,51,13
431,123,21,14
431,170,53,15
431,182,1,16
431,158,51,17
431,84,25,18
431,166,27,19
431,172,27,20
431,,,21
431,179,45,22
431,94,18,23
431,186,50,24
431,178,26,25
431,112,50,26
432,117,1,1
432,102,32,2
432,137,34,3
432,105,6,4
432,140,6,5
432,,,6
432,95,3,7
432,77,21,8
432,123,21,9
432,177,3,10
432,170,53,11
432,176,34,12
432,175,4,13
432,118,4,14
432,119,51,15
432,160,53,16
432,172,27,17
432,166,27,18
432,158,51,19
432,112,50,20
432,84,25,21
432,157,49,22
432,179,45,23
432,94,18,24
433,102,32,1
433,137,34,2
433,95,3,3
433,177,3,4
433,166,27,5
433,117,1,6
433,176,34,7
433,118,4,8
433,173,32,9
433,,,10
433,119,51,11
433,123,21,12
433,140,6,13
433,160,53,14
433,105,6,15
433,84,25,16
433,175,4,17
433,158,51,18
433,77,21,19
433,170,53,20
433,187,1,21
433,178,26,22
433,112,50,23
433,122,25,24
433,157,49,25
433,94,18,26
434,95,3,1
434,137,34,2
434,177,3,3
434,102,32,4
434,176,34,5
434,173,32,6
434,170,53,7
434,182,1,8
434,117,1,9
434,123,21,10
434,77,21,11
434,119,51,12
434,160,53,13
434,158,51,14
434,105,6,15
434,140,6,16
434,84,25,17
434,178,26,18
434,166,25,19
434,94,18,20
435,102,32,1
435,95,3,2
435,177,3,3
435,117,1,4
435,105,6,5
435,176,34,6
435,77,21,7
435,175,4,8
435,137,34,9
435,173,32,10
435,123,21,11
435,118,4,12
435,158,51,13
435,119,51,14
435,140,6,15
435,182,1,16
435,84,25,17
435,166,27,18
435,178,26,19
435,172,27,20
435,160,53,21
435,122,25,22
435,94,18,23
435,170,53,24
435,179,45,25
404,102,32,1
404,137,3,2
404,95,3,3
404,163,27,4
404,172,27,5
404,105,6,6
404,177,1,7
404,140,6,8
404,117,1,9
404,119,34,10
404,174,32,11
404,170,22,12
404,175,26,13
404,173,34,14
404,123,21,15
404,77,22,16
404,84,25,17
404,166,25,18
404,178,26,19
404,176,21,20
404,156,49,21
404,110,18,22
404,160,45,23
404,157,45,24
404,145,18,25
405,102,32,1
405,137,3,2
405,95,3,3
405,117,1,4
405,177,1,5
405,163,27,6
405,77,22,7
405,172,27,8
405,170,22,9
405,174,32,10
405,140,6,11
405,84,25,12
405,105,6,13
405,119,34,14
405,173,34,15
405,156,49,16
405,178,26,17
405,175,26,18
405,123,21,19
405,166,25,20
405,160,45,21
405,176,21,22
405,157,45,23
405,110,18,24
405,145,18,25
406,102,32,1
406,137,3,2
406,95,3,3
406,117,1,4
406,105,6,5
406,177,1,6
406,140,6,7
406,163,27,8
406,77,22,9
406,170,22,10
406,175,26,11
406,123,21,12
406,84,25,13
406,172,27,14
406,176,21,15
406,119,34,16
406,174,32,17
406,145,18,18
406,173,34,19
406,156,49,20
406,178,26,21
406,166,25,22
406,110,18,23
406,179,49,24
406,157,45,25
406,160,45,26
407,117,1,1
407,95,3,2
407,102,32,3
407,105,6,4
407,77,22,5
407,119,34,6
407,172,27,7
407,175,26,8
407,177,1,9
407,84,25,10
407,137,3,11
407,163,27,12
407,166,25,13
407,123,21,14
407,140,6,15
407,170,22,16
407,176,21,17
407,178,26,18
407,156,49,19
407,173,34,20
408,137,3,1
408,77,22,2
408,117,1,3
408,102,32,4
408,95,3,5
408,170,22,6
408,163,27,7
408,177,1,8
408,105,6,9
408,175,26,10
408,140,6,11
408,84,25,12
408,174,32,13
408,123,21,14
408,119,34,15
408,178,26,16
408,172,27,17
408,166,25,18
408,110,18,19
408,156,49,20
408,176,21,21
408,145,18,22
408,179,49,23
408,160,45,24
408,157,45,25
409,95,3,1
409,102,32,2
409,137,3,3
409,117,1,4
409,163,27,5
409,177,1,6
409,77,22,7
409,172,27,8
409,119,34,9
409,118,34,10
409,105,6,11
409,123,21,12
409,178,26,13
409,175,26,14
409,170,22,15
409,174,32,16
409,166,25,17
409,140,6,18
409,84,25,19
409,145,18,20
409,110,18,21
409,156,49,22
409,160,45,23
409,179,49,24
410,102,32,1
410,95,3,2
410,137,3,3
410,163,27,4
410,140,6,5
410,172,27,6
410,117,1,7
410,119,34,8
410,177,1,9
410,158,26,10
410,105,6,11
410,77,22,12
410,123,21,13
410,174,32,14
410,118,34,15
410,84,25,16
410,170,22,17
410,166,25,18
410,157,21,19
410,156,49,20
410,178,26,21
410,160,45,22
410,110,18,23
410,145,18,24
410,180,45,25
410,179,49,26
411,102,32,1
411,95,3,2
411,137,3,3
411,163,27,4
411,117,1,5
411,170,22,6
411,177,1,7
411,77,22,8
411,105,6,9
411,140,6,10
411,172,27,11
411,174,32,12
411,175,26,13
411,118,34,14
411,84,25,15
411,119,34,16
411,166,25,17
411,157,21,18
411,145,18,19
411,178,26,20
411,123,21,21
411,156,49,22
411,110,18,23
411,179,49,24
411,160,45,25
411,180,45,26
412,137,3,1
412,95,3,2
412,102,32,3
412,77,22,4
412,177,1,5
412,117,1,6
412,170,22,7
412,163,27,8
412,118,34,9
412,174,32,10
412,84,25,11
412,105,6,12
412,123,21,13
412,178,26,14
412,119,34,15
412,166,25,16
412,175,26,17
412,140,6,18
412,172,27,19
412,145,18,20
412,110,18,21
412,156,49,22
412,157,21,23
412,160,45,24
412,179,49,25
412,180,45,26
413,177,1,1
413,117,1,2
413,102,32,3
413,77,22,4
413,137,3,5
413,95,3,6
413,119,34,7
413,163,27,8
413,170,22,9
413,105,6,10
413,140,6,11
413,174,32,12
413,175,26,13
413,112,27,14
413,84,25,15
413,156,49,16
413,157,21,17
413,166,25,18
413,178,26,19
413,118,34,20
413,123,21,21
413,145,18,22
413,110,18,23
413,179,49,24
413,160,45,25
413,180,45,26
414,102,32,1
414,137,3,2
414,117,1,3
414,95,3,4
414,177,1,5
414,175,26,6
414,140,6,7
414,174,32,8
414,163,27,9
414,178,26,10
414,77,22,11
414,112,27,12
414,170,22,13
414,119,34,14
414,105,6,15
414,84,25,16
414,145,18,17
414,166,25,18
414,118,34,19
414,110,18,20
414,157,21,21
414,123,21,22
414,160,45,23
414,156,49,24
414,179,49,25
414,180,45,26
415,170,22,1
415,77,22,2
415,177,1,3
415,119,34,4
415,117,1,5
415,95,3,6
415,137,3,7
415,102,32,8
415,105,6,9
415,118,34,10
415,112,27,11
415,163,27,12
415,175,26,13
415,140,6,14
415,174,32,15
415,178,26,16
415,84,25,17
415,123,21,18
415,145,18,19
415,166,25,20
415,156,49,21
415,157,21,22
415,110,18,23
415,179,49,24
415,160,45,25
415,180,45,26
416,170,22,1
416,117,1,2
416,95,3,3
416,77,22,4
416,102,32,5
416,137,3,6
416,118,34,7
416,177,1,8
416,105,6,9
416,119,34,10
416,163,27,11
416,140,6,12
416,123,21,13
416,112,27,14
416,175,26,15
416,157,21,16
416,174,32,17
416,178,26,18
416,145,18,19
416,84,25,20
416,110,18,21
416,156,49,22
416,166,25,23
416,179,49,24
416,122,39,25
416,160,45,26
416,133,45,27
417,102,32,1
417,95,3,2
417,117,1,3
417,77,22,4
417,170,22,5
417,137,3,6
417,177,1,7
417,140,6,8
417,119,34,9
417,163,27,10
417,112,27,11
417,118,34,12
417,105,6,13
417,175,26,14
417,174,32,15
417,110,18,16
417,178,26,17
417,145,18,18
417,84,25,19
417,156,49,20
417,123,21,21
417,157,21,22
417,166,25,23
417,160,45,24
417,122,39,25
417,179,49,26
417,180,45,27
418,102,32,1
418,137,3,2
418,95,3,3
418,77,22,4
418,119,34,5
418,117,1,6
418,118,34,7
418,175,26,8
418,170,22,9
418,112,27,10
418,177,1,11
418,105,6,12
418,163,27,13
418,140,6,14
418,178,26,15
418,84,25,16
418,174,32,17
418,156,49,18
418,166,25,19
418,157,21,20
418,123,21,21
418,110,18,22
418,,,23
418,145,18,24
418,160,45,25
418,180,45,26
419,95,3,1
419,137,3,2
419,102,32,3
419,117,1,4
419,163,27,5
419,77,22,6
419,177,1,7
419,112,27,8
419,105,6,9
419,166,25,10
419,110,18,11
419,140,6,12
419,170,22,13
419,174,32,14
419,178,26,15
419,84,25,16
419,175,26,17
419,145,18,18
419,119,34,19
419,118,34,20
419,156,49,21
419,123,21,22
419,179,49,23
419,157,21,24
419,160,45,25
419,180,45,26
388,95,3,1
388,137,3,2
388,102,32,3
388,170,22,4
388,117,1,5
388,123,22,6
388,77,6,7
388,118,21,8
388,105,6,9
388,140,1,10
388,119,34,11
388,138,32,12
388,110,34,13
388,158,21,14
388,145,18,15
388,167,18,16
388,157,49,17
388,156,25,18
388,84,49,19
388,166,25,20
388,133,45,21
388,169,39,22
388,122,37,23
389,102,32,1
389,95,3,2
389,117,1,3
389,170,22,4
389,77,6,5
389,105,6,6
389,119,34,7
389,140,1,8
389,158,21,9
389,118,21,10
389,123,22,11
389,138,32,12
389,110,34,13
389,84,49,14
389,145,18,15
389,167,18,16
389,157,49,17
389,160,27,18
389,133,45,19
389,166,25,20
389,112,33,21
389,122,37,22
389,156,25,23
389,169,39,24
389,99,45,25
389,,,26
389,,,27
390,95,3,1
390,137,3,2
390,102,32,3
390,77,6,4
390,105,6,5
390,117,1,6
390,123,22,7
390,119,34,8
390,170,22,9
390,140,1,10
390,158,21,11
390,118,21,12
390,110,34,13
390,145,18,14
390,138,32,15
390,163,27,16
390,160,27,17
390,84,49,18
390,167,18,19
390,157,49,20
390,122,37,21
390,112,33,22
390,166,25,23
390,156,25,24
390,169,39,25
390,133,45,26
391,95,3,1
391,102,32,2
391,137,3,3
391,117,1,4
391,105,6,5
391,158,21,6
391,140,1,7
391,77,6,8
391,123,22,9
391,119,34,10
391,118,21,11
391,170,22,12
391,145,18,13
391,84,49,14
391,156,25,15
391,133,45,16
391,138,32,17
391,112,33,18
391,122,37,19
391,160,27,20
391,110,34,21
391,163,27,22
391,166,25,23
391,169,39,24
392,95,3,1
392,102,32,2
392,137,3,3
392,123,22,4
392,117,1,5
392,158,21,6
392,105,6,7
392,170,22,8
392,119,34,9
392,118,21,10
392,140,1,11
392,77,6,12
392,156,25,13
392,166,25,14
392,84,49,15
392,157,49,16
392,110,34,17
392,145,18,18
392,133,45,19
392,112,33,20
392,163,27,21
392,122,37,22
392,160,27,23
392,138,32,24
392,167,18,25
392,169,39,26
393,95,3,1
393,117,1,2
393,102,32,3
393,137,3,4
393,123,22,5
393,77,6,6
393,170,22,7
393,105,6,8
393,140,1,9
393,118,21,10
393,110,34,11
393,119,34,12
393,163,27,13
393,158,21,14
393,145,18,15
393,138,32,16
393,160,27,17
393,84,49,18
393,157,49,19
393,133,45,20
393,167,18,21
393,122,37,22
393,112,33,23
393,156,25,24
393,166,25,25
393,169,39,26
394,137,3,1
394,95,3,2
394,102,32,3
394,117,1,4
394,123,22,5
394,170,22,6
394,105,6,7
394,77,6,8
394,110,34,9
394,140,1,10
394,119,34,11
394,138,32,12
394,118,21,13
394,158,21,14
394,145,18,15
394,163,27,16
394,84,49,17
