constructorStandingsId,raceId,constructorId,yearID,points,position,positionText,wins
25794,41,11,2007,0,9,9,0
25793,41,7,2007,6,5,5,0
25792,41,3,2007,13,4,4,0
25791,41,4,2007,21,3,3,0
25790,41,2,2007,38,2,2,0
25789,41,1,2007,88,11,E,3
25808,42,5,2007,0,8,8,0
25807,42,9,2007,6,6,6,0
25806,42,8,2007,4,7,7,0
25805,42,11,2007,0,9,9,0
25804,42,7,2007,9,5,5,0
25803,42,3,2007,13,4,4,0
25802,42,4,2007,25,3,3,0
25801,42,2,2007,39,2,2,0
25800,42,1,2007,106,11,E,4
25819,43,5,2007,0,9,9,0
25818,43,9,2007,6,6,6,0
25817,43,8,2007,4,7,7,0
25816,43,11,2007,1,8,8,0
25815,43,7,2007,9,5,5,0
25814,43,3,2007,13,4,4,0
25813,43,4,2007,28,3,3,0
25812,43,2,2007,48,2,2,0
25811,43,1,2007,114,11,E,4
25830,44,5,2007,0,9,9,0
25829,44,9,2007,6,6,6,0
25828,44,8,2007,4,7,7,0
25827,44,11,2007,1,8,8,0
25826,44,7,2007,9,5,5,0
25825,44,3,2007,13,4,4,0
25824,44,4,2007,31,3,3,0
25823,44,2,2007,56,2,2,0
25822,44,1,2007,128,11,E,5
25841,45,5,2007,0,9,9,0
25840,45,9,2007,16,5,5,0
25839,45,8,2007,4,7,7,0
25838,45,11,2007,1,8,8,0
25837,45,7,2007,9,6,6,0
25836,45,3,2007,18,4,4,0
25835,45,4,2007,32,3,3,0
25834,45,2,2007,61,2,2,0
25833,45,1,2007,138,11,E,5
25852,46,5,2007,0,9,9,0
25851,46,9,2007,16,5,5,0
25850,46,8,2007,4,7,7,0
25849,46,11,2007,1,8,8,0
25848,46,7,2007,12,6,6,0
25847,46,3,2007,20,4,4,0
25846,46,4,2007,33,3,3,0
25845,46,2,2007,71,2,2,0
25844,46,1,2007,138,11,E,6
25863,47,5,2007,0,9,9,0
25862,47,9,2007,16,5,5,0
25861,47,8,2007,4,7,7,0
25860,47,11,2007,1,8,8,0
25859,47,7,2007,12,6,6,0
25858,47,3,2007,22,4,4,0
25857,47,4,2007,36,3,3,0
25856,47,2,2007,77,2,2,0
25855,47,1,2007,148,11,E,6
25874,48,5,2007,0,9,9,0
25873,48,9,2007,16,5,5,0
25872,48,8,2007,4,7,7,0
25871,48,11,2007,2,8,8,0
25870,48,7,2007,12,6,6,0
25869,48,3,2007,25,4,4,0
25868,48,4,2007,38,3,3,0
25867,48,2,2007,86,2,2,0
25866,48,1,2007,166,11,E,7
25885,49,5,2007,0,9,9,0
25884,49,9,2007,18,5,5,0
25883,49,8,2007,4,7,7,0
25882,49,11,2007,2,8,8,0
25881,49,7,2007,12,6,6,0
25880,49,3,2007,28,4,4,0
25879,49,4,2007,39,3,3,0
25878,49,2,2007,90,2,2,0
25877,49,1,2007,192,11,E,7
25896,50,5,2007,0,10,10,0
25895,50,9,2007,23,5,5,0
25894,50,8,2007,4,7,7,0
25893,50,11,2007,2,8,8,0
25892,50,7,2007,12,6,6,0
25891,50,3,2007,28,4,4,0
25890,50,4,2007,51,3,3,0
25889,50,2,2007,92,2,2,0
25888,50,1,2007,202,11,E,8
25907,51,5,2007,8,7,7,0
25906,51,9,2007,24,5,5,0
25905,51,8,2007,4,9,9,0
25904,51,11,2007,6,8,8,0
25903,51,7,2007,12,6,6,0
25902,51,3,2007,28,4,4,0
25901,51,4,2007,51,3,3,0
25900,51,2,2007,94,2,2,0
25899,51,1,2007,210,11,E,8
25918,52,5,2007,8,7,7,0
25917,52,9,2007,24,5,5,0
25916,52,8,2007,4,9,9,0
25915,52,11,2007,6,8,8,0
25914,52,7,2007,13,6,6,0
25913,52,3,2007,33,4,4,0
25912,52,4,2007,51,3,3,0
25911,52,2,2007,101,2,2,0
25910,52,1,2007,118,11,E,8
6327,53,8,2006,0,11,11,0
6326,53,13,2006,0,10,10,0
6325,53,7,2006,0,9,9,0
6324,53,2,2006,0,8,8,0
6323,53,5,2006,0,7,7,0
6322,53,9,2006,1,6,6,0
6321,53,3,2006,5,5,5,0
6320,53,11,2006,5,4,4,0
6319,53,1,2006,10,2,2,0
6318,53,6,2006,8,3,3,0
6317,53,4,2006,10,1,1,1
6338,54,8,2006,0,11,11,0
6337,54,13,2006,0,10,10,0
6336,54,7,2006,1,7,7,0
6335,54,2,2006,2,6,6,0
6334,54,5,2006,0,9,9,0
6333,54,9,2006,1,8,8,0
6332,54,3,2006,5,5,5,0
6331,54,11,2006,11,4,4,0
6330,54,1,2006,15,3,3,0
6329,54,6,2006,15,2,2,0
6328,54,4,2006,28,1,1,2
6349,55,8,2006,0,11,11,0
6348,55,13,2006,0,10,10,0
6347,55,7,2006,7,6,6,0
6346,55,2,2006,10,5,5,0
6345,55,5,2006,0,9,9,0
6344,55,9,2006,2,8,8,0
6343,55,3,2006,5,7,7,0
6342,55,11,2006,13,4,4,0
6341,55,1,2006,23,2,2,0
6340,55,6,2006,15,3,3,0
6339,55,4,2006,42,1,1,3
6360,56,8,2006,0,11,11,0
6359,56,13,2006,0,10,10,0
6358,56,7,2006,7,7,7,0
6357,56,2,2006,10,5,5,0
6356,56,5,2006,0,9,9,0
6355,56,9,2006,2,8,8,0
6354,56,3,2006,8,6,6,0
6353,56,11,2006,15,4,4,0
6352,56,1,2006,33,2,2,0
6351,56,6,2006,30,3,3,1
6350,56,4,2006,51,1,1,3
6371,57,8,2006,0,11,11,0
6370,57,13,2006,0,10,10,0
6369,57,7,2006,7,7,7,0
6368,57,2,2006,11,5,5,0
6367,57,5,2006,0,9,9,0
6366,57,9,2006,2,8,8,0
6365,57,3,2006,10,6,6,0
6364,57,11,2006,19,4,4,0
6363,57,1,2006,38,3,3,0
6362,57,6,2006,46,2,2,2
6361,57,4,2006,62,1,1,3
6382,58,8,2006,0,11,11,0
6381,58,13,2006,0,10,10,0
6380,58,7,2006,7,7,7,0
6379,58,2,2006,12,5,5,0
6378,58,5,2006,0,9,9,0
6377,58,9,2006,2,8,8,0
6376,58,3,2006,10,6,6,0
6375,58,11,2006,24,4,4,0
6374,58,1,2006,42,3,3,0
6373,58,6,2006,59,2,2,2
6372,58,4,2006,78,1,1,4
6393,59,8,2006,0,11,11,0
6392,59,13,2006,0,10,10,0
6391,59,7,2006,8,7,7,0
6390,59,2,2006,14,5,5,0
6389,59,5,2006,0,9,9,0
6388,59,9,2006,8,8,8,0
6387,59,3,2006,10,6,6,0
6386,59,11,2006,29,4,4,0
6385,59,1,2006,50,3,3,0
6384,59,6,2006,63,2,2,2
6383,59,4,2006,91,1,1,5
6404,60,8,2006,0,11,11,0
6403,60,13,2006,0,10,10,0
6402,60,7,2006,8,7,7,0
6401,60,2,2006,17,5,5,0
6400,60,5,2006,0,9,9,0
6399,60,9,2006,8,8,8,0
6398,60,3,2006,10,6,6,0
6397,60,11,2006,29,4,4,0
6396,60,1,2006,59,3,3,0
6395,60,6,2006,75,2,2,2
6394,60,4,2006,106,1,1,6
6415,61,8,2006,0,11,11,0
6414,61,13,2006,0,10,10,0
6413,61,7,2006,11,6,6,0
6412,61,2,2006,19,5,5,0
6411,61,5,2006,0,9,9,0
6410,61,9,2006,9,8,8,0
6409,61,3,2006,10,7,7,0
6408,61,11,2006,29,4,4,0
6407,61,1,2006,65,3,3,0
6406,61,6,2006,87,2,2,2
6405,61,4,2006,121,1,1,7
6426,62,8,2006,0,11,11,0
6425,62,13,2006,0,10,10,0
6424,62,7,2006,16,6,6,0
6423,62,2,2006,19,5,5,0
6422,62,5,2006,1,9,9,0
6421,62,9,2006,11,7,7,0
6420,62,3,2006,10,8,8,0
6419,62,11,2006,32,4,4,0
6418,62,1,2006,65,3,3,0
6417,62,6,2006,105,2,2,3
6416,62,4,2006,131,1,1,7
6437,63,8,2006,0,11,11,0
6436,63,13,2006,0,10,10,0
6435,63,7,2006,21,5,5,0
6434,63,2,2006,20,6,6,0
6433,63,5,2006,1,9,9,0
6432,63,9,2006,11,7,7,0
6431,63,3,2006,10,8,8,0
6430,63,11,2006,32,4,4,0
6429,63,1,2006,71,3,3,0
6428,63,6,2006,121,2,2,4
6427,63,4,2006,142,1,1,7
6448,64,8,2006,0,11,11,0
6447,64,13,2006,0,10,10,0
6446,64,7,2006,23,5,5,0
6445,64,2,2006,20,6,6,0
6444,64,5,2006,1,9,9,0
6443,64,9,2006,12,7,7,0
6442,64,3,2006,10,8,8,0
6441,64,11,2006,37,4,4,0
6440,64,1,2006,77,3,3,0
6439,64,6,2006,139,2,2,5
6438,64,4,2006,149,1,1,7
6459,65,8,2006,0,11,11,0
6458,65,13,2006,0,10,10,0
6457,65,7,2006,26,5,5,0
6456,65,2,2006,26,6,6,0
6455,65,5,2006,1,9,9,0
6454,65,9,2006,16,7,7,0
6453,65,3,2006,10,8,8,0
6452,65,11,2006,52,4,4,1
6451,65,1,2006,85,3,3,0
6450,65,6,2006,142,2,2,5
6449,65,4,2006,149,1,1,7
6470,66,8,2006,0,11,11,0
6469,66,13,2006,0,10,10,0
6468,66,7,2006,28,5,5,0
6467,66,2,2006,26,6,6,0
6466,66,5,2006,1,9,9,0
6465,66,9,2006,16,7,7,0
6464,66,3,2006,10,8,8,0
6463,66,11,2006,58,4,4,1
6462,66,1,2006,89,3,3,0
6461,66,6,2006,158,2,2,6
6460,66,4,2006,160,1,1,7
6482,67,14,2006,0,12,12,0
6481,67,8,2006,0,11,11,0
6480,67,13,2006,0,10,10,0
6479,67,7,2006,30,6,6,0
6478,67,2,2006,33,5,5,0
6477,67,5,2006,1,9,9,0
6476,67,9,2006,16,7,7,0
6475,67,3,2006,10,8,8,0
6474,67,11,2006,65,4,4,1
6473,67,1,2006,97,3,3,0
6472,67,6,2006,168,1,1,7
6471,67,4,2006,165,2,2,7
6494,68,14,2006,0,12,12,0
6493,68,8,2006,0,11,11,0
6492,68,13,2006,0,10,10,0
6491,68,7,2006,30,6,6,0
6490,68,2,2006,35,5,5,0
6489,68,5,2006,1,9,9,0
6488,68,9,2006,16,7,7,0
6487,68,3,2006,11,8,8,0
6486,68,11,2006,73,4,4,1
6485,68,1,2006,101,3,3,0
6484,68,6,2006,178,2,2,8
6483,68,4,2006,179,1,1,7
6506,69,14,2006,0,12,12,0
6505,69,8,2006,0,11,11,0
6504,69,13,2006,0,10,10,0
6503,69,7,2006,35,6,6,0
6502,69,2,2006,36,5,5,0
6501,69,5,2006,1,9,9,0
6500,69,9,2006,16,7,7,0
6499,69,3,2006,11,8,8,0
6498,69,11,2006,78,4,4,1
6497,69,1,2006,105,3,3,0
6496,69,6,2006,186,2,2,8
6495,69,4,2006,195,1,1,8
6518,70,14,2006,0,12,12,0
6517,70,8,2006,0,11,11,0
6516,70,13,2006,0,10,10,0
6515,70,7,2006,35,6,6,0
6514,70,2,2006,36,5,5,0
6513,70,5,2006,1,9,9,0
6512,70,9,2006,16,7,7,0
6511,70,3,2006,11,8,8,0
6510,70,11,2006,86,4,4,1
6509,70,1,2006,110,3,3,0
6508,70,6,2006,201,2,2,9
6507,70,4,2006,206,1,1,8
567,71,4,2005,16,1,1,1
568,71,6,2005,8,2,2,0
569,71,9,2005,7,3,3,0
570,71,3,2005,4,4,4,0
571,71,1,2005,4,5,5,0
572,71,7,2005,0,6,6,0
573,71,15,2005,0,7,7,0
574,71,17,2005,0,8,8,0
575,71,18,2005,0,9,9,0
576,72,4,2005,26,1,1,2
577,72,6,2005,10,4,4,0
578,72,9,2005,11,3,3,0
579,72,3,2005,10,5,5,0
580,72,1,2005,9,6,6,0
581,72,7,2005,12,2,2,0
582,72,15,2005,0,7,7,0
583,72,17,2005,0,8,8,0
584,72,18,2005,0,9,9,0
1808,73,18,2005,0,9,9,0
1807,73,17,2005,0,8,8,0
1806,73,15,2005,2,7,7,0
1805,73,7,2005,25,2,2,0
1804,73,1,2005,19,3,3,0
1803,73,3,2005,13,4,4,0
1802,73,9,2005,12,5,5,0
1801,73,6,2005,10,6,6,0
1800,73,4,2005,36,1,1,3
1817,74,18,2005,0,9,9,0
1816,74,17,2005,0,8,8,0
1815,74,15,2005,7,7,7,0
1814,74,7,2005,29,2,2,0
1813,74,1,2005,25,3,3,0
1812,74,3,2005,18,5,5,0
1811,74,9,2005,13,6,6,0
1810,74,6,2005,18,4,4,0
24516,75,17,2005,0,8,8,0
24515,75,16,2005,0,10,10,0
24514,75,15,2005,7,7,7,0
24513,75,7,2005,40,2,2,0
24512,75,1,2005,37,3,3,1
24511,75,3,2005,21,4,4,0
24510,75,9,2005,14,6,6,0
24509,75,6,2005,18,5,5,0
24508,75,4,2005,58,1,1,4
612,76,4,2005,63,1,1,4
613,76,6,2005,21,5,5,0
614,76,9,2005,14,6,6,0
615,76,3,2005,35,4,4,0
616,76,1,2005,51,2,2,2
617,76,7,2005,43,3,3,0
618,76,15,2005,7,7,7,0
619,76,17,2005,0,8,8,0
620,76,18,2005,0,9,9,0
621,77,4,2005,76,1,1,5
622,77,6,2005,31,5,5,0
623,77,9,2005,19,6,6,0
624,77,3,2005,43,4,4,0
625,77,1,2005,53,2,2,2
626,77,7,2005,44,3,3,0
627,77,15,2005,7,7,7,0
628,77,17,2005,0,8,8,0
629,77,18,2005,0,10,10,0
630,77,16,2005,0,9,9,0
1827,78,16,2005,0,9,9,0
1826,78,18,2005,0,10,10,0
1825,78,17,2005,0,8,8,0
1824,78,15,2005,12,7,7,0
1823,78,7,2005,47,4,4,0
1822,78,1,2005,63,2,2,3
1821,78,3,2005,47,3,3,0
1820,78,9,2005,22,6,6,0
1819,78,6,2005,45,5,5,0
1818,78,4,2005,76,1,1,5
1672,79,16,2005,0,10,10,0
1671,79,18,2005,7,9,9,0
1670,79,17,2005,11,8,8,0
1669,79,15,2005,12,7,7,0
1668,79,7,2005,47,5,5,0
1667,79,1,2005,63,2,2,3
1666,79,3,2005,47,4,4,0
1665,79,9,2005,22,6,6,0
1664,79,6,2005,63,3,3,1
1663,79,4,2005,76,1,1,5
651,80,4,2005,89,1,1,6
652,80,6,2005,69,3,3,1
653,80,9,2005,22,6,6,0
654,80,3,2005,47,5,5,0
655,80,1,2005,71,2,2,3
656,80,7,2005,53,4,4,0
657,80,15,2005,13,7,7,0
658,80,17,2005,11,8,8,0
659,80,18,2005,7,9,9,0
660,80,16,2005,5,10,10,0
661,81,4,2005,102,1,1,6
662,81,6,2005,74,3,3,1
663,81,9,2005,22,6,6,0
664,81,3,2005,47,5,5,0
665,81,1,2005,87,2,2,4
666,81,7,2005,54,4,4,0
667,81,15,2005,13,7,7,0
668,81,17,2005,11,8,8,0
669,81,18,2005,7,10,10,0
670,81,16,2005,9,9,9,0
671,82,4,2005,117,1,1,7
672,82,6,2005,78,3,3,1
673,82,9,2005,24,6,6,0
674,82,3,2005,47,5,5,0
675,82,1,2005,95,2,2,4
676,82,7,2005,57,4,4,0
677,82,15,2005,14,8,8,0
678,82,17,2005,11,9,9,0
679,82,18,2005,7,10,10,0
680,82,16,2005,15,7,7,0
681,83,4,2005,117,1,1,7
682,83,6,2005,86,3,3,1
683,83,9,2005,24,6,6,0
684,83,3,2005,52,5,5,0
685,83,1,2005,105,2,2,5
686,83,7,2005,68,4,4,0
687,83,15,2005,14,8,8,0
688,83,17,2005,11,9,9,0
689,83,18,2005,7,10,10,0
690,83,16,2005,20,7,7,0
691,84,4,2005,130,1,1,7
692,84,6,2005,86,3,3,1
693,84,9,2005,27,6,6,0
694,84,3,2005,52,5,5,0
695,84,1,2005,121,2,2,6
696,84,7,2005,71,4,4,0
697,84,15,2005,14,8,8,0
698,84,17,2005,11,9,9,0
699,84,18,2005,7,10,10,0
700,84,16,2005,24,7,7,0
701,85,4,2005,144,1,1,7
702,85,6,2005,86,3,3,1
703,85,9,2005,27,6,6,0
704,85,3,2005,54,5,5,0
705,85,1,2005,136,2,2,7
706,85,7,2005,78,4,4,0
707,85,15,2005,14,8,8,0
708,85,17,2005,11,9,9,0
709,85,18,2005,7,10,10,0
710,85,16,2005,25,7,7,0
711,86,4,2005,152,1,1,7
712,86,6,2005,90,3,3,1
713,86,9,2005,27,7,7,0
714,86,3,2005,59,5,5,0
715,86,1,2005,146,2,2,8
716,86,7,2005,80,4,4,0
717,86,15,2005,17,8,8,0
718,86,17,2005,12,9,9,0
719,86,18,2005,7,10,10,0
720,86,16,2005,31,6,6,0
721,87,4,2005,162,2,2,7
722,87,6,2005,98,3,3,1
723,87,9,2005,27,7,7,0
724,87,3,2005,59,5,5,0
725,87,1,2005,164,1,1,9
726,87,7,2005,81,4,4,0
727,87,15,2005,17,8,8,0
728,87,17,2005,12,9,9,0
729,87,18,2005,7,10,10,0
730,87,16,2005,33,6,6,0
731,88,4,2005,176,1,1,7
732,88,6,2005,100,3,3,1
733,88,9,2005,30,7,7,0
734,88,3,2005,64,5,5,0
735,88,1,2005,174,2,2,10
736,88,7,2005,82,4,4,0
737,88,15,2005,17,8,8,0
738,88,17,2005,12,9,9,0
739,88,18,2005,7,10,10,0
740,88,16,2005,37,6,6,0
741,89,4,2005,191,1,1,8
742,89,6,2005,100,3,3,1
743,89,9,2005,34,7,7,0
744,89,3,2005,66,5,5,0
745,89,1,2005,182,2,2,10
746,89,7,2005,88,4,4,0
747,89,15,2005,20,8,8,0
748,89,17,2005,12,9,9,0
749,89,18,2005,7,10,10,0
750,89,16,2005,38,6,6,0
6146,90,17,2004,0,9,9,0
6145,90,7,2004,0,8,8,0
6144,90,19,2004,0,7,7,0
6143,90,15,2004,0,6,6,0
6142,90,1,2004,1,5,5,0
6141,90,16,2004,3,4,4,0
6140,90,3,2004,9,2,2,0
6139,90,4,2004,8,3,3,0
6138,90,6,2004,18,1,1,1
6156,91,18,2004,0,10,10,0
6155,91,17,2004,0,9,9,0
6154,91,7,2004,0,7,7,0
6153,91,19,2004,0,8,8,0
6152,91,15,2004,1,6,6,0
6151,91,1,2004,4,5,5,0
6150,91,16,2004,9,4,4,0
6149,91,3,2004,17,2,2,0
6148,91,4,2004,14,3,3,0
6147,91,6,2004,33,1,1,2
6166,92,18,2004,0,10,10,0
6165,92,17,2004,0,9,9,0
6164,92,7,2004,0,8,8,0
6163,92,19,2004,1,7,7,0
6162,92,15,2004,1,6,6,0
6161,92,1,2004,4,5,5,0
6160,92,16,2004,19,4,4,0
6159,92,3,2004,19,3,3,0
6158,92,4,2004,22,2,2,0
6157,92,6,2004,51,1,1,3
6176,93,18,2004,0,10,10,0
6175,93,17,2004,0,9,9,0
6174,93,7,2004,0,8,8,0
6173,93,19,2004,1,7,7,0
6172,93,15,2004,1,6,6,0
6171,93,1,2004,5,5,5,0
6170,93,16,2004,27,3,3,0
6169,93,3,2004,27,4,4,0
6168,93,4,2004,31,2,2,0
6167,93,6,2004,64,1,1,4
6186,94,18,2004,0,10,10,0
6185,94,17,2004,0,9,9,0
6184,94,7,2004,0,8,8,0
6183,94,19,2004,1,7,7,0
6182,94,15,2004,3,6,6,0
6181,94,1,2004,5,5,5,0
6180,94,16,2004,32,3,3,0
6179,94,3,2004,30,4,4,0
6178,94,4,2004,42,2,2,0
6177,94,6,2004,82,1,1,5
6196,95,18,2004,0,10,10,0
6195,95,17,2004,2,8,8,0
6194,95,7,2004,4,7,7,0
6193,95,19,2004,1,9,9,0
6192,95,15,2004,7,5,5,0
6191,95,1,2004,5,6,6,0
6190,95,16,2004,40,3,3,0
6189,95,3,2004,35,4,4,0
6188,95,4,2004,52,2,2,1
6187,95,6,2004,88,1,1,5
6206,96,18,2004,0,10,10,0
6205,96,17,2004,2,9,9,0
